"driver","starts","wins","top5","top10"
"Chase Elliott","36","5","15","22"
"Brad Keselowski","36","4","13","24"
"Joey Logano","36","3","12","21"
"Denny Hamlin","36","7","18","21"
"Kevin Harvick","36","9","20","27"
"Alex Bowman","36","1","6","15"
"Martin Truex, Jr.","36","1","14","23"
"Kyle Busch","36","1","14","20"
"Ryan Blaney","36","1","11","17"
"Kurt Busch","36","1","7","19"
"Austin Dillon","35","1","4","9"
"Clint Bowyer","36","0","2","12"
"Matt DiBenedetto","36","0","3","11"
"William Byron","36","1","4","14"
"Aric Almirola","36","0","6","18"
"Cole Custer","36","1","2","7"
"Erik Jones","36","0","9","13"
"Jimmie Johnson","35","0","5","10"
"Tyler Reddick","36","0","3","9"
"Christopher Bell","36","0","2","7"
"Chris Buescher","36","0","2","8"
"Bubba Wallace","36","0","1","5"
"Michael McDowell","36","0","0","4"
"Ricky Stenhouse, Jr.","36","0","3","4"
"Ryan Newman","33","0","0","2"
"Ty Dillon","36","0","1","2"
"John Hunter Nemechek","36","0","0","3"
"Matt Kenseth","32","0","1","2"
"Ryan Preece","36","0","0","2"
"Corey LaJoie","36","0","0","1"
"Daniel Suarez","35","0","0","0"
"Brennan Poole","35","0","0","1"
"Quin Houff","36","0","0","0"
"Kyle Larson","4","0","1","3"
"Brendan Gaughan","5","0","0","2"
"Reed Sorenson","17","0","0","0"
"James Davison","15","0","0","0"
"Stanton Barrett","1","0","0","0"
"Timmy Hill","36","0","0","0"
"J.J. Yeley","34","0","0","0"
"Joey Gase","33","0","0","0"
"Garrett Smithley","26","0","0","0"
"Josh Bilicki","22","0","0","0"
"B.J. McLeod","16","0","0","0"
"Gray Gaulding","9","0","0","0"
"Ross Chastain","8","0","0","0"
"Chad Finchum","3","0","0","0"
"Justin Haley","2","0","0","0"
"David Ragan","1","0","1","1"
"Kaz Grala","1","0","0","1"
"Cody Ware","1","0","0","0"
"David Starr","1","0","0","0"
"Justin Allgaier","1","0","0","0"
"Bayley Currey","1","0","0","0"
